Accounting
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
,,,,,,,R,01:35 pm-02:25 pm,,,,,"David  Titley-Péloquin",04/12-04/12,CENTEN 1-150,Active
410,AEPH,115,001,Lecture,4.000,"Physics 2.",MW,08:35 am-09:55 am,37,0,0,0,"David  Titley-Péloquin",01/04-04/11,RAYMND 2-045,Active
,,,,,,,R,08:35 am-09:55 am,,,,,"David  Titley-Péloquin",04/11-04/11,RAYMND 2-045,Active
411,AEPH,115,002,Laboratory,0.000,"Physics 2.",R,02:35 pm-04:25 pm,37,0,0,0,"David  Titley-Péloquin",01/04-04/10,CENTEN 1-150,Active
,,,,,,,R,02:35 pm-04:25 pm,,,,,"David  Titley-Péloquin",04/12-04/12,CENTEN 1-150,Active
412,AEPH,115,003,Tutorial,0.000,"Physics 2.",F,10:05 am-10:55 am,42,0,0,0,"David  Titley-Péloquin",01/04-04/12,RAYMND 1-042,Active
469,AEPH,122,001,Laboratory,1.000,"Physics Laboratory 2.",,TBA,10,0,0,0,"David  Titley-Péloquin",01/04-04/12,TBA,Active
Aerospace Engineering
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
1054,AERO,410,001,Lecture,3.000,"Aerospace Design and Certification Process.",W,05:35 pm-08:25 pm,40,0,0,0,"Christopher  Mruczek",01/04-04/10,ENGTR 0060,Active
4986,AERO,460D2,001,Lecture,3.000,"Aerospace Project.",TR,11:35 am-12:55 pm,20,0,0,0,TBA,01/04-04/09,LEA 116,Active
African Studies
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
8002,AFRI,480,001,Topics Course,3.000,"Honours Thesis.",TBA,TBA,1,0,0,0,TBA,01/04-04/12,TBA,Active
1055,AFRI,598,001,Seminar,3.000,"Research Seminar in African Studies.",W,02:35 pm-05:25 pm,15,0,0,0,"Milka Perez Nyariro",01/04-04/10,MOR 313,Active
Agricultural Economics
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
770,AGEC,201,001,Lecture,3.000,"Principles of Macroeconomics.",,TBA,24,0,0,0,"Kakali  Mukhopadhyay",01/04-04/12,TBA,Cancelled
85,AGEC,231,001,Lecture,3.000,"Economic Systems of Agriculture.",WF,02:35 pm-03:55 pm,30,0,0,0,"Mary Kathryn Doidge",01/04-04/12,RAYMND 4-046/048,Active
86,AGEC,320,001,Lecture,3.000,"Intermediate Microeconomic Theory.",TR,04:05 pm-05:25 pm,24,0,0,0,"Kakali  Mukhopadhyay",01/04-04/09,RAYMND 4-047,Active
87,AGEC,430,001,Lecture,3.000,"Agriculture, Food and Resource Policy.",F,01:05 pm-03:55 pm,40,0,0,0,"Gordon Maxwell Hickey",01/04-04/12,CENTEN 1-162,Active
88,AGEC,442,001,Lecture,3.000,"Economics of International Agricultural Development.",MW,08:35 am-09:55 am,32,0,0,0,"Aurelie Patricia Harou",01/04-04/11,RAYMND 4-045,Active
,,,,,,,R,08:35 am-09:55 am,,,,,"Aurelie Patricia Harou",04/11-04/11,RAYMND 4-045,Active
771,AGEC,450,001,Lecture,3.000,"Agribusiness Management.",T,08:35 am-09:55 am,24,0,0,0,"Mary Kathryn Doidge",01/04-04/09,CENTEN 1-162,Active
,,,,,,,F,08:35 am-09:55 am,,,,,"Mary Kathryn Doidge",01/04-04/12,BARTON 1-016,Active
382,AGEC,492,001,Topics Course,3.000,"Special Topics in Agricultural Economics 01.",,TBA,10,0,0,0,TBA,01/04-04/12,TBA,Active
913,AGEC,633,001,Lecture,3.000,"Environmental and Natural Resource Economics.",,TBA,10,0,0,0,"Paul  Thomassin",01/04-04/12,TBA,Cancelled
89,AGEC,642,001,Lecture,3.000,"Economics of Agricultural Development.",MW,08:35 am-09:55 am,5,0,0,0,"Aurelie Patricia Harou",01/04-04/11,RAYMND 4-045,Active
,,,,,,,R,08:35 am-09:55 am,,,,,"Aurelie Patricia Harou",04/11-04/11,RAYMND 4-045,Active
90,AGEC,685,001,Topics Course,3.000,"Selected Topics in Agricultural Economics.",,TBA,15,0,0,0,"Paul  Thomassin, Mary Kathryn Doidge, Kakali  Mukhopadhyay, Aurelie Patricia Harou",01/04-04/12,TBA,Active
91,AGEC,690,001,Seminar,3.000,"Seminar in Agricultural Economics.",M,01:05 pm-02:25 pm,12,0,0,0,"Kakali  Mukhopadhyay",01/04-04/11,RAYMND 1-042,Active
,,,,,,,R,01:05 pm-02:25 pm,,,,,"Kakali  Mukhopadhyay",04/11-04/11,RAYMND 1-042,Active
92,AGEC,691,001,Thesis Course,3.000,"M.Sc. Thesis 1.",,TBA,25,0,0,0,TBA,01/04-04/12,TBA,Active
93,AGEC,692,001,Thesis Course,3.000,"M.Sc. Thesis 2.",,TBA,25,0,0,0,TBA,01/04-04/12,TBA,Active
94,AGEC,693,001,Thesis Course,6.000,"M.Sc. Thesis 3.",,TBA,25,0,0,0,TBA,01/04-04/12,TBA,Active
95,AGEC,694,001,Thesis Course,6.000,"M.Sc. Thesis 4.",,TBA,25,0,0,0,TBA,01/04-04/12,TBA,Active
96,AGEC,695,001,Thesis Course,6.000,"M.Sc. Thesis 5.",,TBA,25,0,0,0,TBA,01/04-04/12,TBA,Active
Agriculture
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
380,AGRI,196,001,Seminar,0.500,"Freshman Seminar 2.",T,10:05 am-11:25 am,160,0,0,0,"Fernando  Altamura",01/04-04/09,RAYMND 2-045,Active
758,AGRI,310,001,Internship,3.000,"Internship in Agriculture/Environment.",,TBA,10,0,0,0,"Caroline B  Begg",01/04-04/12,TBA,Active
442,AGRI,330,001,Lecture,1.000,"Agricultural Legislation.",R,08:35 am-09:25 am,32,0,0,0,"Mathieu  Leduc",01/04-04/04,RAYMND 4-045,Active
272,AGRI,340,001,Lecture,3.000,"Principles of Ecological Agriculture.",MW,01:05 pm-02:25 pm,54,0,0,0,"Caroline B  Begg",01/04-04/11,RAYMND 3-048,Active
,,,,,,,R,01:05 pm-02:25 pm,,,,,"Caroline B  Begg",04/11-04/11,RAYMND 3-048,Active
273,AGRI,340,002,Conference,0.000,"Principles of Ecological Agriculture.",M,02:35 pm-04:25 pm,54,0,0,0,"Caroline B  Begg",01/04-04/12,RAYMND 3-048,Active
,,,,,,,R,02:35 pm-04:25 pm,,,,,"Caroline B  Begg",04/11-04/11,RAYMND 3-048,Active
996,AGRI,402,001,Project,6.000,"Honours Research Project 2.",,TBA,20,0,0,0,"Kevin  Wade",01/04-04/12,TBA,Active
997,AGRI,406,001,Project,3.000,"Honours Project 2.",,TBA,10,0,0,0,"Kevin  Wade",01/04-04/12,TBA,Active
935,AGRI,410,001,Internship,6.000,"Agrology Internship.",,TBA,25,0,0,0,"Julie  Major",01/04-04/12,TBA,Active
9,AGRI,411,001,Conference,3.000,"Global Issues on Development, Food and Agriculture.",TR,02:35 pm-04:25 pm,59,0,0,0,"Elsa  Vasseur",01/04-04/09,CENTEN 1-163,Active
443,AGRI,430,001,Lecture,2.000,"Professional Practice in Agrology.",WF,12:05 pm-12:55 pm,28,0,0,0,"Julie  Major",01/04-04/12,TBA,Active
390,AGRI,490,001,Project,3.000,"Agri-Food Industry Project.",,TBA,15,0,0,0,"Julie  Major, Valérie  Gravel, Caroline B  Begg",01/04-04/12,TBA,Active
708,AGRI,493,001,Lecture,3.000,"International Project Management.",,TBA,15,0,0,0,"Ebenezer Miezah Kwofie",01/04-04/12,TBA,Cancelled
465,AGRI,499,001,Internship,3.000,"Agricultural Development Internship.",,TBA,10,0,0,0,"Julie  Major",01/04-04/12,TBA,Active
511,AGRI,510,001,Lecture,3.000,"Professional Practice.",,TBA,66,0,0,0,"Yixiang  Wang",01/04-04/12,TBA,Cancelled
448,AGRI,550,001,Lecture,3.000,"Sustained Tropical Agriculture.",,TBA,26,0,0,0,"Julie  Major",01/04-04/12,TBA,Active
Anaesthesia
